Company Symbol,Market Cap,Authorized Shares,Outstanding Shares,Par Value,SEC Filings,Address,Website,Phone,Email,Audited Financials,Latest Report,Fiscal Year End,Company Officers,BOARD OF DIRECTORS,Employees
AAGFF,60401605,Unlimited,233300909,1.0,,"#1500 - 409 Granville Street Vancouver, BC V6C 1T2 Canada",aftermathsilver.com,+1 604-484-7855,info@fullmetalzinc.com,Audited,02/29/2024 Interim Financial Report,5/31,"Ralph Rushton (CEO, President), Alastair Brownlow (CFO), Sheryl Dhillon (Corporate Secretary), Michael Williams (Vice President)","Michael Williams, Keenan Harry Hohol, Ralph Rushton, David Terry",1 as of 11/29/2021
AAGH,61448066,99999999999,21188988326,,03/31/2024,"1609 W Valley Blvd Unit 338A Alhambra, CA 91803",WWW.AAGHUS.COM,(888) 988-1333,info@aaghus.com,Audited,03/31/2024,6/30,"Mike Q Wang (CEO, CFO), David Liu (COO), Marvin S. Yu (Director, Ops.), Benjamin Tan (Counsel)","Rex Chang, Peter Britton, Aihua Guo",13 as of 12/01/2021
AAGIY,87719820000,,12066000000,,,1 Connaught Road 35th Floor AIA Central Central Hong Kong,www.aia.com,+852 2832 6030,ir@aia.com,Audited,,12/31,"Mark Edward Tucker (Executive Director), Paul Groves (EVP, Chief Marketing Officer), Shu Khoo (EVP, Human Resources & Labor Relations Director), Paul Lloyd (IR)",Shu Khoo,
AAGRY,563758710,,1574745000,,,Jl Pulo Ayang Raya Blok OR No. 1 Kawasan Industri Pulogadung Jakarta Indonesia,www.astra-agro.co.id,,Investor@astra-agro.co.id,Audited,,12/31,Prijono Sugiarto (President),,"28,766 as of 06/30/2013"
AAHIF,,,,,,"707 Tomori, Kawajima-machi, Saitama 350-0166 Japan",www.asahicorporation.com,+81-49-297-5577,info@asahicorporation.com,,,4/30,,,
AAIGF,88383450000,,12066000000,,,1 Connaught Road 35th Floor AIA Central Central Hong Kong,www.aia.com,+852 2832 6030,ir@aia.com,Audited,,12/31,"Mark Edward Tucker (Executive Director), Paul Groves (EVP, Chief Marketing Officer), Shu Khoo (EVP, Human Resources & Labor Relations Director), Paul Lloyd (IR)",Shu Khoo,
AAIIQ,413,12000000,4131443,0.0001,,"1943 North 50th Street Birmingham, AL 35212",www.pemcoair.com,(205) 592-0011,,,06/30/2010 Quarterly Report,12/31,"Ronald Aramini (President, CEO), Randall A. Shealy (Senior VP, CFO), Leah Barnett (Executive Assistant)",,
AAIRF,31101228,Unlimited,91474199,,,"400 Applewood Crescent Suite 100 Vaughan, ON L4K 0C3 Canada",www.airestech.com,+1 6474044416,wifi@airestech.com,Audited,03/31/2024 Quarterly Report,12/31,"Joshua Tryson Bruni (CEO, Chief Revenue Officer), Dimitry Serov (President, Treasurer, Chief Prod. Officer), Vitali Savitski (CFO), Jo-Anne Archibald (Corporate Secretary), Ivan Riabov (Controller), Monita Franziska Faris (Other)","Andrew Charles Green, Joshua Tryson Bruni, Jamie Robert Cochrane, Andrew Michrowski, Dimitry Serov",1 as of 02/14/2024
AAKAY,,,,,,Skrivaregatan 9 Malmo 215 32 Sweden,www.aak.com,+46 70 681 07 34,carl.ahlgren@aak.com,Audited,,12/31,,,
AALBF,,,,,,,,,,,,,,,
AAMAF,,,,,,"Nemours Chambers, Road Town Tortola Virgin Islands (British)",atlasmara.com,212-883-4330,info@atlasmara.com,Audited,,12/31,,,"1,600 as of 03/31/2015"
AAMMF,9761271,,61007944,,,"Suite 210 - 1333 Johnston Street Vancouver, BC V6H 3R9 Canada",www.almadexminerals.com,+1 604 689 7644,info@almadexminerals.com,,,12/31,,,
AAMTF,6560716,200000000,19886984,,,"9575 Pinehurst Drive Roseville, CA 95747",www.armadamercantile.com,916-746-0029,cole@armandamercantile.com,Audited,,2/28,"Patrick Cole (President), Phil Skinder (CFO, Corporate Finance)",,
AANNF,,,,,,,,,,,,12/31,,,
AAPI,895624687,500000000,208284811,,,"100 Spectrum Center Drive Suite 900 Irvine, CA 92612",www.appleisports.com,(949) 247-4210,joe@appleisports.com,Audited,03/31/2024,12/31,"Joe F. Martinez (CEO), Jeremy Samuel (President), Lee Saltzer (COO), Ali Uguz (CFO), Bryan Kelly (CTO), Cathy Verlench (Controller), Marino Sussich (Founder)","Joe F. Martinez, Jeremy Samuel, Marino Sussich",7 as of 02/27/2024
AAPJ,854354,3000000000,2847847504,0.001,,"1620 Central Avenue Suite 202 Cheyenne, WY 82001",www.aap-inc.com,+1 307-222-8340,info@aap-inc.com,Unaudited,03/31/2024 Quarterly Report,12/31,"Paul Bakajin (CEO), Vic Devlaeminck (Counsel)",Paul Bakajin,2 as of 01/24/2024
AAPT,274463,3000000000,2744629126,0.001,,"18F-C29, Block E, Chang'an International No. 88 Nanguanzheng St. Xi'an 710068 China",www.kuora.net,400-005-8672,kuora331@126.com,,03/31/2023 Quarterly Report,12/31,"Lanwei Li (President), David Shaw Cheng Chong (CFO)","David Shaw Cheng Chong, Lanwei Li",10 as of 03/02/2023
AAQL,29845025,30000000,29995000,0.001,03/31/2024,"133-27 39th Ave #PH2A Flushing, NY 11354",www.aaql.com,(929)527-5382,aaql@aaql.com,Audited,03/31/2024,3/31,"Barry Wan (CEO), Hu Jianmei (Accountant)",Barry Wan,1 as of 03/25/2024
AARTY,,,,,,"53/54 Grosvenor Street London, ENG W1K 3HU United Kingdom",airtel.africa/#,+44 207 493 9315,investor.relations@africa.airtel.com,Audited,,3/31,,,
AASCF,,,,,,,,,,Audited,,,,,
AASLF,,,18614000,,,"Shinjuku Green Tower Building, 6-14-1 Nishi-shinjuku, Tokyo 160-0023 Japan",www.ajiko.co.jp/en,,,,,9/30,,,
AASP,1244787,500000000,5658123,0.001,03/31/2024,"6730 South Las Vegas Boulevard Las Vegas, NV 89119",www.taylormadegolfexperience.com,(702) 317-7302,,Audited,03/31/2024,12/31,"Ronald Boreta (President, CEO, Secretary), Kirk Hartle (CFO)",John Boreta,
AASZD,108431285,112108442,112108442,1.0,,"22275 SW 272nd Street Homstead, FL 33031",atlanticsapphire.com,+1 786-292-3632,investorrelations@atlanticsapphire.com,Audited,12/31/2023 Annual Report,12/31,"Johan Emil Andreassen (CEO), Karl Oeystein Oeyehaug (CFO, IR, Managing Director)","Kenneth J. Andersen, Marta Rojo Alonso, Patrick Dempster, Ellen Marie Saetre, Andre Skarboe, Eirik Welde",158 as of 12/31/2023
AATC,33457286,20000000,5462414,0.01,,"1115 Hennepin Avenue Minneapolis, MN 55403",www.autoscope.com,+1 612-438-2363,investorrelations@autoscope.com,Audited,03/31/2024 Quarterly Report,12/31,"Andrew Markese (Interim CEO), Lori Schug (CFO)","Andrew T. Berger, James W. Bracke, Joseph P Daly, Ezekiel J. Kruglick, Brian J. VanDerBosch",35 as of 01/15/2024
AATGF,2566293,,64512144,,,"#9-1520 Cliveden Ave. Delta, BC V3M 6J8 Canada",www.airtest.ca,+1 604-517-3888,info@airtest.com,Audited,,12/31,"Ted Konyi (CEO), George Graham (President), Murray Graham (CFO, Ops. Supervisor)","George Graham, Robert Mebruer, Darrel Taylor",
AATRL,,,,,,"777 South Flagler Drive West Palm Beach, FL 33401",www.amg.com,+1 (800) 345-1100,ir@amg.com,,,12/31,,,
AATV,7486219,500000000,49908128,0.001,,"4400 NE 77th Avenue Vancouver, WA 98662",www.aatv.co,310-321-4958,info@aatv.co,Unaudited,03/31/2024 Quarterly Report,12/31,"J. Michael Heil (President, CEO), Kevin Orton (Accountant)",J. Michael Heil,14 as of 12/31/2023
AAUAF,10566049,Unlimited,137221418,,06/11/2024,"Suite 210 - 1333 Johnston Street Vancouver, BC V6H 3R9 Canada",www.almadenminerals.com,6046897644,info@almadenminerals.com,Audited,12/31/2023,12/31,"Morgan Poliquin (President, CEO), Korm Trieu (CFO), Douglas McDonald (EVP), Sandra Rafael (Controller)","Duane Poliquin, Elaine Ellingham, Ria Fitzgerald, Kevin O'Kane, Alfredo Phillips, Morgan Poliquin",8 as of 12/31/2023
AAUCF,,,,,,"40 Temperance Street, Suite 3200 Toronto, ON M5H 0B4 Canada",alliedgold.com,+1 647-526-4258,investor@alliedgoldmc.com,Audited,,12/31,"Peter Marrone (CEO), Daniel Racine (President), Jason LeBlanc (CFO), Gwennael Guillen (CSO), Gerardo Fernandez (Chief Development Officer), Greg Winch (Chief Geologist, Chief Strategy Officer), Richard Campbell (Chief Human Resources Officer), Sofia Tsakos (Chief Legal Officer, Corporate Secretary), Basie Maree (Chief Operating Officer)","Peter Marrone, Justin Dibb, John Beardsworth, John Begeman, Pierre Chenard, Richard Graff, Daniel Racine, Jane Sadowsly, Dino Titaro",
AAUGF,8573089,,95256541,,,"918 - 1030 West Georgia Street Vancouver, BC V6E 2Y3 Canada",www.angoldresources.com,+1 855-917-4091,info@angoldresources.com,Audited,01/31/2023 Interim Financial Report,4/30,"Galen McNamara (Interim CEO), Gavin Cooper (CFO), Michelle Teshima (Administrator)","Galen McNamara, Bradon Gennaro Bonifacio, Rony Zimerman",6 as of 08/30/2021
AAUKF,40528610764,Unlimited,1337577913,0.54945,,17 Charterhouse Street London EC1N 6RA United Kingdom,www.angloamerican.com,+44 20 7968 8888,investorrelations@angloamerican.com,Audited,12/31/2023 Annual Report,12/31,"Claire Murphy (Deputy Company Secretary), Richard Price (Other), Ruben Fernandez (Other), Themba Mkhwanazi (Other), Al Cook (Other), Alison Atkinson (Other), Helena Nonka (Other), Matt Daley (Other), Monique Carter (Other), Tom McCulley (Other), Matt Walker (Other), John Heasley (Other)","Stuart Chambers, Ian Tyler, Ian Ashby, Marcelo Bastos, Nonkululeko Nyembezi, Hixonia Nyasulu, Hilary Maxson, Magali Anderson, John Heasley","105,000 as of 12/31/2022"
AAVMY,16008200000,,940000000,,,Gustav Mahlerlaan 10 Amsterdam 1082 PP Netherlands,www.abnamro.com,+31 20 6282 282,investorrelations@nl.abnamro.com,Audited,,12/31,"Hugh Scott-Barrett (CFO), Richard Bruens (Head of IR)",,
AAVVF,1290107365,,161062093,,,"440 - 2 Avenue S.W. Suite 300 Calgary, AB T2P 5E9 Canada",www.advantageog.com,(403) 718-8000,ir@advantageog.com,Audited,12/31/2017,12/31,,,
AAVXF,147576150,,9741000,,,7-11 boulevard Haussmann Paris 75009 France,www.abivax.com,+33 (0)1 53 83 0841,info@abivax.com,Audited,,12/31,"Hartmut J. Ehrlich (CEO), Didier Blondel (CFO)","Philippe Pouletty, Joy A. Amundson, Jean-Jacques Bertran, Claude Bertrand, Dominique Costantini, Antonino Ligresti, Antoine Pau, Christian Pierret, Jean-Paul Prieels",
AAWH,207887979,750000000,213218440,0.001,05/31/2024,"1411 Broadway 16th Floor New York, NY 10018",www.awholdings.com,+1 781 703-7800,ir@awholdings.com,Audited,05/31/2024 8K Report,12/31,"John Hartmann (CEO), Mark Dennis Cassebaum Jr. (CFO), Frank Albert Perullo (EVP, Advisor), Rebecca Koar (VP, Investor Rel.), Roman Nemchenko (Chief Accounting Officer)","Abner Brill Kurtin, Samuel Brill, Julie Francis, Joshua Gold, John Hartmann, Frank Albert Perullo, Scott Lawrence Swid","2,392 as of 04/30/2024"
AAXT,1599,50000000,15991812,0.001,,"31 Walmer Rd Suite 6 Toronto, ON M5R 2W7 Canada",,,,,06/30/2008,1/31,"Marc Juliar (President, CEO, CFO)",,
AAYYY,,,,,,"Level 1 299 Coronation Drive Milton, QL 4064 Australia",www.aaco.com.au,61-7-3368-4400,info@aaco.com.au,Audited,,3/31,David Farley (CEO),,
ABAKF,69916494,,36992854,,05/16/2024,c/o Aberdeen Asset Managers Ltd. No. 1 Seaton Place Jersey JE4 8YJ United Kingdom,www.aberdeen-asset.com,44-1534-758-847,,,,,,,
ABANF,,,,,,,www.shva.co.il,,,,,,,,
ABBAF,385125534,,175057061,,,"40 Princes Street Edinburgh, ENG EH2 2BY United Kingdom",www.asian-income.co.uk,+44 012 6844 8222,inv.trusts@abrdn.com,Audited,,12/31,,,
ABBB,4282947,10000000,503284,0.01,,"256 Court Street Auburn, ME 04210",www.auburnsavings.com,+1 207-782-6871,shareholderrelations@auburnsavings.com,,,,"Reporting Status (U.S. Reporting: Bank/Thrift), Audited Financials (Audited), Latest Report (06/30/2023 Annual Report), CIK (0001428802), Fiscal Year End (6/30)","William Tracy, Michelle L Rouleau, Robert A Michaud, Bobbi Kimball",Nan
ABBNY,105923496790,2557000000,1841507246,,,Affolternstrasse 44 Zurich CH-8050 Switzerland,www.abb.com,41-43-317-7111,investor.relations@ch.abb.com,Audited,12/31/2023,12/31,"Jorgen Centerman (President, CEO), Renato Fassbind (CFO)",,
ABBRF,198409898,,125116596,,,"220 Bay Street Suite 550 Toronto, ON M5J 2W4 Canada",www.abrasilver.com,+1 416-648-1626,info@abrasilver.com,Audited,03/31/2024 Interim Financial Report,12/31,"Hernan Zaballa (Legal Counsel), John Miniotis (CEO), Carlos Pinglo (CFO, Corporate Secretary), David O'Connor (Chief Geologist), Emily Mackenzie Jieam (Office Manager), Shelene Watson (Other)","Hernan Zaballa, Robert Bruggeman, Stephen Gatley, Sam Leung, Jens Mayer, Nicholas Teasdale, Flora MacKay Wood",1 as of 09/15/2023
ABBY,1198,500000000,119758371,0.001,08/31/2013,"455 E. Thousand Oaks Blvd. Ste. 105 Thousand Oaks, CA 91360",abbyholdinggroup.com,702-625-0338,admin@abbyholdinggroup.com,,09/30/2018 Quarterly Report,12/31,Amanda Flores (CEO),,2 as of 06/01/2016
ABCCF,,,,,,,,,,,,12/31,,,
ABCE,26052,5000000000,260515166,,,"2505 N. Alvernon Way Tuscon, AZ 85712",www.abcoenergy.com,520-777-0511,InvestorRelations@abcoenergy.com,Unaudited,12/31/2022,12/31,"David Leroy Shorey (President, CFO, CEO), Michael Mildebrandt (President), Wayne Marx (Vice President, Secretary), Larry Winters (Consultant)",David Leroy Shorey,20 as of 05/20/2019
ABCFF,3330470,,120844341,,,"Suite 1000-1050 West Pender Street Vancouver, BC V6E3S7 Canada",www.amemining.com,604-682-0301,info@amemining.com,Audited,,12/31,"Michael McInnis (CEO, President), Ian A. MacNeily (EVP, CFO)",Michael McInnis,
ABCGF,,,,,,"Level 13, 77 Castlereagh Street, Sydney, NSW 2000 Australia",abacusgroup.com.au,+61 (2) 9253 8600,enquiries@abacusgroup.com.au,Audited,,6/30,,,
ABCP,19544282,85000000,84938211,0.01,06/04/2024,"7857 WEST SAMPLE ROAD SUITE 134 CORAL SPRINGS, FL 33065",,(201) 265-0169,,Audited,04/29/2024 8K Report,12/31,"Richard A. Bianco (President, CEO), John P. Ferrara (CFO)","Richard A. Bianco, Jerry Y. Carnegie",
ABCZF,4999575000,,224700000,,,"330 Cambridge Science Park Cambridge, ENG CB4 0FL United Kingdom",www.abcamplc.com,+44 (0) 1223 696,investor.relations@abcam.com,Audited,12/31/2022,12/31,Jonathan Milner (CEO),,
ABDBY,311730436,,154321998,,,Lyngby Hovedgade 4 Lyngby 2800 Denmark,www.almbrand.dk/english,454-596-7000,,Audited,,12/31,,,
ABDDF,745866000,,22602000,,,"AB Dynamics, Middleton Drive, Bradford on Avon, Wi BA15 1GB United Kingdom",www.abdynamics.com,+44 (0)1225 860 200,info@abdynamics.com,,,8/31,,,
ABDXF,18404828,,262926110,,,York Biotech Campus Sand Hutton York YO41 1LZ United Kingdom,www.abingdonhealth.com,+44 (0)7980 541 893,abingdon@walbrookpr.com,,,6/30,,,
ABENU,,,,,,"8000 Norman Center Drive Suite 610 Bloomington, MN 55437",,+1 763-226-2701,,,12/31/2019,,,,
ABEPF,5958025,Unlimited,262352485,,,"1019 Boulevard des Pins 2nd Floor Val-d'Or, QC J9P 4T2 Canada",www.visionlithium.com,+1 819 8746200,yrougerie@visionlithium.com,Audited,02/29/2024 Interim Financial Report,8/31,"Yves J. Rougerie (CEO, President), Nancy Lacoursiere (CFO), Tom Provost (Corporate Secretary)","Victor Cantore, Robert C. Bryce, Jonathan Gagne, Scott Jobin-Bevans",5 as of 11/01/2022
ABFOF,99038,,990381308,,,"Paseo de la Castellana, 89, Floor 9 Madrid 28046 Spain",www.abertis.com/var/lang/en,93 230 50 00,investor.relations@abertis.com,,,12/31,"Francisco Reynes Massanet (CEO), Steven Fernandez (Director, Inv. Rel.)",,
ABFRF,,,,,,,,,,,,,,,
ABFXF,,,,,,,,,,,,,,,
ABGOF,905,,90469680,,,Campus Palmas Altas Calle Energia Solar n 1 Seville 41014 Spain,www.abengoa.es,+34 95-493-70-00,ir@abengoa.com,Audited,12/31/2014,12/31,"Miguel Angel Jimenez-Velasco Maz (Secretary), Barbara Zubiria (Director, Inv. Rel.)","Felipe Benjumea Llorente, Jose A. Terceiro",
ABGSF,225543582,,417673300,,,,,,,,,12/31,,,
ABHBY,,,,,,,,,,,,,,,
ABILF,797,200000000,7972394,,,"525 South Flagler Drive Suite 201 West Palm Beach, FL 33401",,972-3-6879777,,Audited,12/31/2019,12/31,,,
ABIT,307125716,4409605000,4095009545,0.001,,"800 NW 7th Avenue Miami, FL 33136",www.athenabitcoin.com,+1 312-690-4466,info@athenabitcoin.com,Audited,03/31/2024 Quarterly Report,12/31,"Matias Goldenhorn (CEO), Eyal Segal (Interim CFO), Noreen Joyce Pepino (Corporate Controller)","Carlos Carreno, Matias Goldenhorn, Eric L Gravengaard, Antonio Valiente",36 as of 12/31/2022
ABLAF,,,,,,"16th floor, Tennozu First Tower, 2-2-4 Higashi-Shinagawa, Tokyo Japan",www.abalance.jp,,,,,6/30,,,
ABLE,3004,75000000,30040331,0.001,,"198 Green Pond Road Rockaway, NJ 07866",www.ableenergy.com,(973) 625-1012,investorrelations@ableenergy.com,,09/30/2008,6/30,"Gregory Frost (CEO), Daniel Johnston (CFO)",,
ABLGF,,,,,,,www.alten.com/fr,,,,,,,,
ABLT,2796868,150000,32330,0.01,,"57 River Street Suite 302 Wellesley Hills, MA 02481-2097",www.ambilt.com,+1 781-237-6655,info@ambilt.com,Unaudited,12/31/2023 Annual Report,12/31,"Roger A. Marcus (CEO), Richard A. Marcus (President, COO), Howard N. Feist III (CFO)","Roger A. Marcus, Todd S Marcus",640 as of 08/01/2023
ABLZF,117786864000,2557000000,2001000000,,,Affolternstrasse 44 Zurich CH-8050 Switzerland,www.abb.com,41-43-317-7111,investor.relations@ch.abb.com,Audited,12/31/2023,12/31,"Jorgen Centerman (President, CEO), Renato Fassbind (CFO)",,
ABMBF,18831838,Unlimited,570661759,,,"475 Av. de l'Église Rouyn-Noranda, QC J0Z 1Y1 Canada",www.abcourt.ca,+1 8197682857,info@abcourt.com,Audited,03/31/2024 Interim Financial Report,6/30,"Pascal Hamelin (President, CEO), Christine Lefebvre (CFO), Robert Gagnon (Vice President), Julie Godard (Company Secretary)","Daniel Adam, Rene Branchaud, Loic Bureau, Pascal Hamelin, Jasmine Hinse, Lise Kistabish, Francois Mestrallet",32 as of 04/02/2024
ABMC,4810,75000000,48098476,0.01,03/31/2023,"122 Smith Road Kinderhook, NY 12106",www.abmc.com,(518) 758-8158,ir@abmc.com,Audited,03/31/2023,12/31,Jean Neff (Corporate Secretary),"Peter Jerome, Jean Neff",42 as of 12/31/2020
ABMRF,15416188000,,940000000,,,Gustav Mahlerlaan 10 Amsterdam 1082 PP Netherlands,www.abnamro.com,+31 10 241 1720,investorrelations@nl.abnamro.com,Audited,,12/31,,,
ABMT,42543,100000000,70904850,0.0001,,"535 Fifth Avenue 4th Floor New York City, NY 10017.",www.abtbiomedical.com,+1 718 766-7898,info@abtbiomedical.com,Unaudited,10/31/2022 Annual Report,10/31,"Hui Wang (CEO), Chiming Yu (President, IR), Kai Gui (CFO, Secretary, COO)","Chiming Yu, Kai Gui, Hui Wang",17 as of 10/31/2021
ABNAF,1310382,Unlimited,18719736,,,"777 Dunsmuir Street Suite 1610 Vancouver, BC V7Y 1K4 Canada",www.abenresources.com,604-687-3376,info@abenminerals.com,Audited,03/31/2023 Interim Financial Report,9/30,"Riley Trimble (CEO, President), Donald C. Huston (CFO), Kelly Young Pladson (Secretary)","Amanda Chow, Simon Dyakowski, Donald C. Huston, Timothy Termuende",1 as of 02/23/2023
ABOIF,3851637235,,5630225457,,,Aboitiz Corporate Center Gov. Manuel A. Cuenco Avenue Cebu City 6000 Philippines,www.aboitiz.com,(63-32) 411-1800,aev_investor@aboitiz.com,Audited,,12/31,"Erramon A. Aboitiz (President, CEO), Stephen A. Paradies (CFO), Dave Valeriano (IR)","Jon Ramon Aboitiz, Erramon A. Aboitiz",
ABPR,49298,500000000,492980300,0.001,,"633 NE 167th Street Suite 1001 North Miami, FL 33162",www.airbornesecuritycorp.net,305-770-0033,jerry@airbornesecuritycorp.net,Unaudited,06/30/2015 Quarterly Report,12/31,"Jerry Deutsch (CEO), Mathilda Deutsche (President), Judith Zand (Secretary)",,150 as of 09/17/2010
ABQQ,1166113,10000000000,2332226432,0.001,02/29/2024,"144 Main Street Mt. Kisco, NY 10549",www.abqqs.com,(914) 202-3108,corp@abqqs.com,Audited,02/29/2024,8/31,"Chiyuan Deng (President, CEO), Jianli Deng (CFO), Jimmy Chue (Chief Inv. Officer)","Chiyuan Deng, Jianli Deng, Ho Fai Lam",16 as of 03/28/2023
ABRMF,,,,,,,,,,,,,,,
ABSCF,84644595,,31349850,,,3 Avenue George V Paris 75008 France,www.ab-science.com/en,+33 (0)1 47 20 00 1,contact@ab-science.com,Audited,,4/30,"Alain Moussy (CEO, Founder)",,
ABSOF,,,,,,,,,,,,,,,
ABSSF,123318415,Unlimited,27130556,,,"16441 Yonge Street Newmarket, ON L3X 2G8 Canada",airboss.com,+1 905-751-1188,info@airboss.com,Audited,03/31/2024 Interim Financial Report,12/31,"P. Grenville Schoch (CEO), Chris Bitsakakis (CEO, President), Scott Lieberman (President, Subsidiary), Frank Ientile (CFO), Chris Figel (EVP, General Counsel, Secretary), Carl Chapman (Senior VP, Gen. Manager), Tefik Skera (VP, Fin. & Str. Plng.), Morris Douglas Eddy (VP, Human Res.), Andrew Lowe (Vice President, Other), Edward Kiell (Vice President)","P. Grenville Schoch, Anita Margaret Antenucci, David Brian Camilleri, Mary Matthews, Robert L. McLeish, Stephen Michael Ryan, Alan J.D. Watson","1,197 as of 12/31/2023"
ABTI,29349509,2000000000,1467475452,0.001,12/31/2023,"47 Hamilton Square Birkenhead Merseysid, ENG CH41 5AR United Kingdom",alterolabio.com,44 151 601 9477,ir@alterolabio.com,Audited,12/31/2023,3/30,"Timothy Paul Rogers (Acting CFO), Colin George Stott (COO)","Timothy Paul Rogers, Daniel Reshef, Michael Hunter Land, Seamus Henry McAuley, Dominic Christopher Schiller, Colin George Stott",6 as of 03/23/2022
ABTO,21688810,45000000,31433058,,,"292 West Main Avenue Gastonia, NC 28052",www.alliancebanknc.com,+1 704-867-5828,support@alliancebankandtrust.com,,,,"Reporting Status (U.S. Reporting: Bank/Thrift), Audited Financials (Audited), Latest Report (12/31/2023 Call Report), CIK (0001435161), Fiscal Year End (12/31)","Daniel M. Boyd IV, Roger A. Mobley",Nan
ABTZY,4536147400,,5552200000,,,Aboitiz Corporate Center Gov. Manuel A. Cuenco Avenue Cebu City 6000 Philippines,www.aboitiz.com,(63-32) 411-1800,aev_investor@aboitiz.com,Audited,,12/31,"Erramon A. Aboitiz (President, CEO), Stephen A. Paradies (CFO), Dave Valeriano (IR)","Jon Ramon Aboitiz, Erramon A. Aboitiz",
ABVG,45957,5000000000,4595704157,0.001,,"810 7th St. NE #01-244 Washington, DC 20002",www.affinitybeverage.com,888-406-1138,info@affinitybeverage.com,Unaudited,09/30/2017 Quarterly Report,12/31,Jeffrey Michael Canouse (CEO),,1 as of 02/01/2013
ABVN,1935997,3000000000,5533000,,,"Rm 10C, 10/F, ACME Building 28 Nanking Street Jordan, Kowloon, HK 00000 China",www.abvnus.com,+852 3584-826,info@abvnus.com,Audited,09/30/2021,12/31,"Jian Wei Yu (CEO, CFO, COO), Ping Zhang (Other)",Jian Wei Yu,2 as of 04/30/2018
ABWN,48627,5000000000000,4862692652,,,"4115 Guardian Street Suite C Simi Valley, CA 93063",airbornewirelessnetwork.com,(805) 583-4302,info@airbornewirelessnetwork.com,Audited,05/31/2019,8/31,"Michael J. Warren (CEO), J. Edward Daniels (President), Kevin L. Spence (CFO), Stephen Older (Corporate Counsel)","J. Edward Daniels, Samuel Gulko, Karen Laustsen, James H. Leach, Michael J. Warren, James C. Witham",10 as of 06/19/2018
